file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
level4_pronunciation_data_16,0.0,1.776,mfa_labwav,-52.88993921172753,,,21.701759830573337
level4_pronunciation_data_37,0.0,1.416,mfa_labwav,-50.81000701474472,,,24.400615664674046
level1_pronunciation_data_7,0.0,0.792,mfa_labwav,-52.444601710838604,,,21.6029859107297
level3_pronunciation_data_21,0.0,1.008,mfa_labwav,-53.65663192295792,,,20.60208780098232
level2_pronunciation_data_37,0.0,0.816,mfa_labwav,-51.88916015625,,,21.87016262710617
level1_pronunciation_data_31,0.0,0.816,mfa_labwav,-52.39451338605183,,,14.882542878991288
level1_pronunciation_data_37,0.0,0.84,mfa_labwav,-50.8995361328125,,,22.078950624883138
level1_pronunciation_data_12,0.0,0.84,mfa_labwav,-48.923549107142854,,,22.727938705210356
level2_pronunciation_data_20,0.0,0.864,mfa_labwav,-56.78486101017442,,,25.79964216941923
level3_pronunciation_data_42,0.0,0.984,mfa_labwav,-50.713114835778065,,,32.86400991995851
level4_pronunciation_data_21,0.0,0.864,mfa_labwav,-56.40435932957849,,,21.008252221955146
level2_pronunciation_data_27,0.0,0.984,mfa_labwav,-51.000164421237244,,,16.698397600580268
level1_pronunciation_data_15,0.0,0.84,mfa_labwav,-51.76722935267857,,,21.521056015749014
level3_pronunciation_data_35,0.0,0.936,mfa_labwav,-49.339443774933514,,,18.78856918651023
level3_pronunciation_data_39,0.0,1.056,mfa_labwav,-48.675827314268865,,,25.17437108830441
level3_pronunciation_data_40,0.0,1.08,mfa_labwav,-51.83768265335648,,,22.635775312771177
level1_pronunciation_data_18,0.0,0.84,mfa_labwav,-49.95765904017857,,,21.36356464476725
level3_pronunciation_data_56,0.0,1.008,mfa_labwav,-52.33587948638614,,,21.087599098412607
level3_pronunciation_data_54,0.0,1.056,mfa_labwav,-53.1995319870283,,,22.209533443643792
level1_pronunciation_data_29,0.0,0.816,mfa_labwav,-53.4483672351372,,,13.04747478546994
level1_pronunciation_data_9,0.0,0.816,mfa_labwav,-51.528397722942074,,,24.076840574133165
level3_pronunciation_data_18,0.0,1.008,mfa_labwav,-48.81461749690594,,,20.50179664370812
level3_pronunciation_data_29,0.0,1.2,mfa_labwav,-50.563899739583334,,,23.85178545130151
level4_pronunciation_data_33,0.0,1.056,mfa_labwav,-66.44333173643868,,,12.514368280770025
level4_pronunciation_data_4,0.0,1.272,mfa_labwav,-57.37389271653543,,,25.254601769042694
level3_pronunciation_data_37,0.0,0.888,mfa_labwav,-53.48656403616573,,,22.713324060604982
level3_pronunciation_data_13,0.0,1.08,mfa_labwav,-51.494656032986114,,,22.130638003803526
level3_pronunciation_data_17,0.0,1.032,mfa_labwav,-48.22306394114078,,,22.726867249997994
